"","terms","count","probability"
"179","believe",56,0.000672430355427474
"180","kind",56,0.000672430355427474
"181","music",56,0.000672430355427474
"182","past",56,0.000672430355427474
"183","plan",56,0.000672430355427474
"184","president",56,0.000672430355427474
"185","’ve",55,0.000660422670509126
"186","bad",55,0.000660422670509126
"187","children",55,0.000660422670509126
"188","everyone",55,0.000660422670509126
"189","favorite",55,0.000660422670509126
"190","hours",55,0.000660422670509126
"191","ive",55,0.000660422670509126
"192","kids",55,0.000660422670509126
"193","less",55,0.000660422670509126
"194","pay",55,0.000660422670509126
"195","along",54,0.000648414985590778
"196","care",54,0.000648414985590778
"197","course",54,0.000648414985590778
"198","friends",54,0.000648414985590778
"199","government",54,0.000648414985590778
"200","lol",54,0.000648414985590778
"201","pretty",54,0.000648414985590778
"202","several",54,0.000648414985590778
"203","side",54,0.000648414985590778
"204","small",54,0.000648414985590778
"205","soon",54,0.000648414985590778
"206","bit",53,0.00063640730067243
"207","company",53,0.00063640730067243
"208","country",53,0.00063640730067243
"209","head",53,0.00063640730067243
"210","hit",53,0.00063640730067243
"211","often",53,0.00063640730067243
"212","weeks",53,0.00063640730067243
"213","yes",53,0.00063640730067243
"214","almost",52,0.000624399615754083
"215","case",52,0.000624399615754083
"216","follow",52,0.000624399615754083
"217","front",52,0.000624399615754083
"218","months",52,0.000624399615754083
"219","news",52,0.000624399615754083
"220","others",52,0.000624399615754083
"221","probably",52,0.000624399615754083
"222","tell",52,0.000624399615754083
"223","third",52,0.000624399615754083
"224","hear",51,0.000612391930835735
"225","including",51,0.000612391930835735
"226","maybe",51,0.000612391930835735
"227","playing",51,0.000612391930835735
"228","remember",51,0.000612391930835735
"229","using",51,0.000612391930835735
"230","business",50,0.000600384245917387
"231","coming",50,0.000600384245917387
"232","deal",50,0.000600384245917387
"233","face",50,0.000600384245917387
"234","month",50,0.000600384245917387
"235","nice",50,0.000600384245917387
"236","problem",50,0.000600384245917387
"237","room",50,0.000600384245917387
"238","theres",50,0.000600384245917387
"239","young",50,0.000600384245917387
"240","area",49,0.000588376560999039
"241","finally",49,0.000588376560999039
"242","friday",49,0.000588376560999039
"243","idea",49,0.000588376560999039
"244","makes",49,0.000588376560999039
"245","open",49,0.000588376560999039
"246","park",49,0.000588376560999039
"247","person",49,0.000588376560999039
"248","whole",49,0.000588376560999039
"249","doesnt",48,0.000576368876080692
"250","former",48,0.000576368876080692
"251","important",48,0.000576368876080692
"252","line",48,0.000576368876080692
